,id,age,gpa,income,subject_risk,cheat_activity,cheat_disagree,inc,holt_risk,mean_side,mean_cat_person,sex
0,b0s88jol,21.0,9.0,10 000 - 20 000 rubles,6.0,3.0,4.0,2,7,0.5,1.75,1
1,fgy4bsys,20.0,6.0,40 000 - 70 000 rubles,3.0,3.0,4.0,4,6,0.5,1.5,1
2,au42r31p,21.0,8.0,20 000 - 40 000 rubles,6.0,5.0,6.0,3,6,0.75,1.0,1
3,dj8u2oej,21.0,8.0,<10 000 rubles,3.0,1.0,10.0,1,6,0.125,1.0,0
4,6yhpp3ae,21.0,7.0,<10 000 rubles,4.0,3.0,7.0,1,4,0.75,1.0,1
5,ccna7j4r,21.0,8.0,40 000 - 70 000 rubles,7.0,6.0,8.0,4,7,0.625,1.875,0
6,k5aiaq5z,19.0,9.0,10 000 - 20 000 rubles,4.0,3.0,5.0,2,2,0.375,1.125,0
7,wwh5c4qx,20.0,7.0,70 000 - 100 000 rubles,6.0,1.0,10.0,5,5,0.625,1.375,1
8,c4theher,22.0,9.0,>100 000 rubles,7.0,3.0,6.0,6,6,0.75,1.75,0
9,gxzil8r6,21.0,8.0,>100 000 rubles,8.0,3.0,10.0,6,4,0.75,1.0,1
10,vweul44w,20.0,9.0,40 000 - 70 000 rubles,2.0,1.0,10.0,4,3,0.625,1.125,0
11,tssy3ee6,21.0,6.0,20 000 - 40 000 rubles,8.0,3.0,8.0,3,7,0.75,2.125,0
12,9k4c7om1,20.0,7.0,<10 000 rubles,6.0,3.0,4.0,1,5,0.5,1.25,0
13,w32okdcv,20.0,7.0,20 000 - 40 000 rubles,3.0,1.0,10.0,3,5,0.625,1.625,1
14,xf3nj1in,21.0,6.0,20 000 - 40 000 rubles,5.0,3.0,10.0,3,2,0.5,1.0,1
15,5y7x35fr,20.0,8.0,10 000 - 20 000 rubles,6.0,5.0,5.0,2,5,0.375,1.375,0
16,xxwo1s8k,19.0,9.0,40 000 - 70 000 rubles,3.0,2.0,8.0,4,7,0.5,1.125,0
